text,category
empire restaurant sandwich,Food
instamart monthly ration,Grocery
upi received stipend,Salary
trip to bali,Travel
local tuition tuition fee payment,Education
paid for postpaid bill for bharat gas,Bills
monthly groceries,Grocery
zerodha nifty 50,Investment
paid for eye checkup payment,Health
paytm paid for mri scan,Health
phonepe paid books purchase,Education
phonepe epic games subscription,Entertainment
